True,"(u'cast-info-service',)",a1.medium,True
True,"(u'compose-review-service',)",a1.medium,False
True,"(u'compose-review-service',)",M6.medium,False
True,"(u'compose-review-service',)",a1.large,False
True,"(u'compose-review-service',)",M6.large,False
True,"(u'compose-review-service',)",a1.xlarge,False
True,"(u'compose-review-service',)",t3.micro,False
True,"(u'compose-review-service',)",t3.small,False
True,"(u'compose-review-service',)",M6.xlarge,False
True,"(u'compose-review-service',)",t3.large,False
True,"(u'compose-review-service',)",a1.2xlarge,True
True,"(u'movie-id-service',)",a1.medium,True
True,"(u'movie-review-service',)",a1.medium,True
True,"(u'plot-service',)",a1.medium,True
True,"(u'rating-service',)",a1.medium,False
True,"(u'rating-service',)",M6.medium,True
True,"(u'review-storage-service',)",a1.medium,False
True,"(u'review-storage-service',)",M6.medium,False
True,"(u'review-storage-service',)",a1.large,False
True,"(u'review-storage-service',)",M6.large,False
True,"(u'review-storage-service',)",a1.xlarge,True
True,"(u'text-service',)",a1.medium,True
True,"(u'unique-id-service',)",a1.medium,False
True,"(u'unique-id-service',)",M6.medium,True
True,"(u'user-review-service',)",a1.medium,True
True,"(u'user-service',)",a1.medium,False
True,"(u'user-service',)",M6.medium,False
True,"(u'user-service',)",a1.large,True
False,"(u'cast-info-service', u'compose-review-service')",a1.medium,False
False,"(u'cast-info-service', u'compose-review-service')",M6.medium,False
False,"(u'cast-info-service', u'compose-review-service')",a1.large,False
False,"(u'cast-info-service', u'compose-review-service')",M6.large,False
False,"(u'cast-info-service', u'compose-review-service')",a1.xlarge,False
False,"(u'cast-info-service', u'compose-review-service')",t3.micro,False
False,"(u'cast-info-service', u'compose-review-service')",t3.small,False
False,"(u'cast-info-service', u'compose-review-service')",M6.xlarge,False
False,"(u'cast-info-service', u'compose-review-service')",t3.large,False
True,"(u'cast-info-service', u'compose-review-service')",a1.2xlarge,True
True,"(u'cast-info-service', u'movie-id-service')",a1.medium,True
True,"(u'cast-info-service', u'movie-review-service')",a1.medium,True
True,"(u'cast-info-service', u'plot-service')",a1.medium,True
False,"(u'cast-info-service', u'rating-service')",a1.medium,False
True,"(u'cast-info-service', u'rating-service')",M6.medium,False
True,"(u'cast-info-service', u'rating-service')",a1.large,True
False,"(u'cast-info-service', u'review-storage-service')",a1.medium,False
False,"(u'cast-info-service', u'review-storage-service')",M6.medium,False
False,"(u'cast-info-service', u'review-storage-service')",a1.large,False
False,"(u'cast-info-service', u'review-storage-service')",M6.large,False
True,"(u'cast-info-service', u'review-storage-service')",a1.xlarge,True
True,"(u'cast-info-service', u'text-service')",a1.medium,True
False,"(u'cast-info-service', u'unique-id-service')",a1.medium,False
True,"(u'cast-info-service', u'unique-id-service')",M6.medium,True
True,"(u'cast-info-service', u'user-review-service')",a1.medium,True
False,"(u'cast-info-service', u'user-service')",a1.medium,False
