exp_id,index,service_combination,vm_type,service_name,API_name,performance_value(ms)
2051,0,"('frontend', 'rate')",a1.xlarge,frontend,searchHandler,0.0005
2051,0,"('frontend', 'rate')",a1.xlarge,frontend,recommendHandler,0.017
2051,0,"('frontend', 'rate')",a1.xlarge,rate,GetRates,0.0011
2051,1,"('frontend', 'rate')",a1.xlarge,frontend,reservationHandler,0.0003
2051,1,"('frontend', 'rate')",a1.xlarge,frontend,userHandler,0.0001
2051,1,"('frontend', 'rate')",a1.xlarge,frontend,searchHandler,0.0003
2051,1,"('frontend', 'rate')",a1.xlarge,frontend,recommendHandler,0.0163
2051,1,"('frontend', 'rate')",a1.xlarge,rate,GetRates,0.0012
2051,2,"('frontend', 'rate')",a1.xlarge,frontend,reservationHandler,0.0005
2051,2,"('frontend', 'rate')",a1.xlarge,frontend,userHandler,0.0002
2051,2,"('frontend', 'rate')",a1.xlarge,frontend,searchHandler,0.0004
2051,2,"('frontend', 'rate')",a1.xlarge,frontend,recommendHandler,0.0168
2051,2,"('frontend', 'rate')",a1.xlarge,rate,GetRates,0.0014
11,0,"('frontend', 'rate')",t3.micro,frontend,reservationHandler,0.0003
11,0,"('frontend', 'rate')",t3.micro,frontend,userHandler,0.0003
11,0,"('frontend', 'rate')",t3.micro,frontend,searchHandler,0.0004
11,0,"('frontend', 'rate')",t3.micro,frontend,recommendHandler,0.0246
11,0,"('frontend', 'rate')",t3.micro,rate,GetRates,0.0009
266,0,"('frontend', 'rate')",t3.small,frontend,reservationHandler,0.0005
266,0,"('frontend', 'rate')",t3.small,frontend,userHandler,0.0002
266,0,"('frontend', 'rate')",t3.small,frontend,searchHandler,0.0005
266,0,"('frontend', 'rate')",t3.small,frontend,recommendHandler,0.0236
266,0,"('frontend', 'rate')",t3.small,rate,GetRates,0.0009
2306,0,"('frontend', 'rate')",M6.xlarge,frontend,reservationHandler,0.0003
2306,0,"('frontend', 'rate')",M6.xlarge,frontend,userHandler,0.0001
2306,0,"('frontend', 'rate')",M6.xlarge,frontend,searchHandler,0.0004
2306,0,"('frontend', 'rate')",M6.xlarge,frontend,recommendHandler,0.0161
2306,0,"('frontend', 'rate')",M6.xlarge,rate,GetRates,0.0012
2306,1,"('frontend', 'rate')",M6.xlarge,frontend,reservationHandler,0.0003
2306,1,"('frontend', 'rate')",M6.xlarge,frontend,userHandler,0.0002
2306,1,"('frontend', 'rate')",M6.xlarge,frontend,searchHandler,0.0003
2306,1,"('frontend', 'rate')",M6.xlarge,frontend,recommendHandler,0.0175
2306,1,"('frontend', 'rate')",M6.xlarge,rate,GetRates,0.0008
2306,2,"('frontend', 'rate')",M6.xlarge,frontend,reservationHandler,0.0003
2306,2,"('frontend', 'rate')",M6.xlarge,frontend,userHandler,0.0002
2306,2,"('frontend', 'rate')",M6.xlarge,frontend,searchHandler,0.0003
2306,2,"('frontend', 'rate')",M6.xlarge,frontend,recommendHandler,0.0179
2306,2,"('frontend', 'rate')",M6.xlarge,rate,GetRates,0.0011
1287,0,"('frontend', 'recommendation')",a1.large,frontend,reservationHandler,0.0003
1287,0,"('frontend', 'recommendation')",a1.large,frontend,userHandler,0.0001
1287,0,"('frontend', 'recommendation')",a1.large,frontend,searchHandler,0.0004
1287,0,"('frontend', 'recommendation')",a1.large,frontend,recommendHandler,0.0195
1287,0,"('frontend', 'recommendation')",a1.large,recommendation,GetRecommendations,0.0057
1287,1,"('frontend', 'recommendation')",a1.large,frontend,reservationHandler,0.0003
1287,1,"('frontend', 'recommendation')",a1.large,frontend,userHandler,0.0001
1287,1,"('frontend', 'recommendation')",a1.large,frontend,searchHandler,0.0002
1287,1,"('frontend', 'recommendation')",a1.large,frontend,recommendHandler,0.0168
1287,1,"('frontend', 'recommendation')",a1.large,recommendation,GetRecommendations,0.0046
1287,2,"('frontend', 'recommendation')",a1.large,frontend,reservationHandler,0.0002
1287,2,"('frontend', 'recommendation')",a1.large,frontend,userHandler,0.0001
1287,2,"('frontend', 'recommendation')",a1.large,frontend,searchHandler,0.0002
1542,0,"('frontend', 'recommendation')",M6.large,frontend,reservationHandler,0.0005
1542,0,"('frontend', 'recommendation')",M6.large,frontend,userHandler,0.0002
1542,0,"('frontend', 'recommendation')",M6.large,frontend,searchHandler,0.0008
