exp_id,index,service_combination,vm_type,service_name,API_name,performance_value(ms)
14331,1,"('compose-review-service',)",t3.large,compose-review-service,UploadText,0.4552
14331,1,"('compose-review-service',)",t3.large,compose-review-service,UploadUserId,0.5215
14331,1,"('compose-review-service',)",t3.large,compose-review-service,UploadMovieId,0.2126
20472,0,"('compose-review-service',)",a1.2xlarge,compose-review-service,UploadRating,0.2196
20472,0,"('compose-review-service',)",a1.2xlarge,compose-review-service,UploadUniqueId,0.7054
20472,0,"('compose-review-service',)",a1.2xlarge,compose-review-service,UploadText,0.3355
20472,0,"('compose-review-service',)",a1.2xlarge,compose-review-service,UploadUserId,0.2935
20472,0,"('compose-review-service',)",a1.2xlarge,compose-review-service,UploadMovieId,0.2923
20472,1,"('compose-review-service',)",a1.2xlarge,compose-review-service,UploadRating,0.2278
20472,1,"('compose-review-service',)",a1.2xlarge,compose-review-service,UploadUniqueId,0.3909
20472,1,"('compose-review-service',)",a1.2xlarge,compose-review-service,UploadText,0.2669
20472,1,"('compose-review-service',)",a1.2xlarge,compose-review-service,UploadUserId,0.2601
20472,1,"('compose-review-service',)",a1.2xlarge,compose-review-service,UploadMovieId,0.2187
20472,2,"('compose-review-service',)",a1.2xlarge,compose-review-service,UploadRating,0.2141
20472,2,"('compose-review-service',)",a1.2xlarge,compose-review-service,UploadUniqueId,0.5476
20472,2,"('compose-review-service',)",a1.2xlarge,compose-review-service,UploadText,0.4454
20472,2,"('compose-review-service',)",a1.2xlarge,compose-review-service,UploadUserId,0.3818
20472,2,"('compose-review-service',)",a1.2xlarge,compose-review-service,UploadMovieId,0.2113
4097,0,"('movie-id-service',)",a1.medium,movie-id-service,UploadMovieId,1.5372
4097,1,"('movie-id-service',)",a1.medium,movie-id-service,UploadMovieId,1.894
4097,2,"('movie-id-service',)",a1.medium,movie-id-service,UploadMovieId,0.8354
4098,0,"('movie-review-service',)",a1.medium,movie-review-service,UploadMovieReview,15.9136
4098,1,"('movie-review-service',)",a1.medium,movie-review-service,UploadMovieReview,13.2707
4098,2,"('movie-review-service',)",a1.medium,movie-review-service,UploadMovieReview,16.9489
4100,0,"('rating-service',)",a1.medium,rating-service,UploadRating,1.6753
4100,1,"('rating-service',)",a1.medium,rating-service,UploadRating,3.5396
6147,0,"('rating-service',)",M6.medium,rating-service,UploadRating,1.0295
6147,1,"('rating-service',)",M6.medium,rating-service,UploadRating,0.9479
6147,2,"('rating-service',)",M6.medium,rating-service,UploadRating,0.497
4101,0,"('review-storage-service',)",a1.medium,review-storage-service,StoreReview,0.8667
6148,0,"('review-storage-service',)",M6.medium,review-storage-service,StoreReview,0.363
6148,1,"('review-storage-service',)",M6.medium,review-storage-service,StoreReview,0.5894
6148,2,"('review-storage-service',)",M6.medium,review-storage-service,StoreReview,1.0063
10242,0,"('review-storage-service',)",a1.large,review-storage-service,StoreReview,1.2454
12289,0,"('review-storage-service',)",M6.large,review-storage-service,StoreReview,0.4028
12289,1,"('review-storage-service',)",M6.large,review-storage-service,StoreReview,0.4411
12289,2,"('review-storage-service',)",M6.large,review-storage-service,StoreReview,1.3959
16383,0,"('review-storage-service',)",a1.xlarge,review-storage-service,StoreReview,0.3812
16383,1,"('review-storage-service',)",a1.xlarge,review-storage-service,StoreReview,0.3791
16383,2,"('review-storage-service',)",a1.xlarge,review-storage-service,StoreReview,0.4168
4102,0,"('text-service',)",a1.medium,text-service,UploadText,13.5452
4102,1,"('text-service',)",a1.medium,text-service,UploadText,6.2741
4102,2,"('text-service',)",a1.medium,text-service,UploadText,12.3583
4103,0,"('unique-id-service',)",a1.medium,unique-id-service,UploadUniqueId,15.6643
4103,1,"('unique-id-service',)",a1.medium,unique-id-service,UploadUniqueId,11.1562
4103,2,"('unique-id-service',)",a1.medium,unique-id-service,UploadUniqueId,23.1927
6150,0,"('unique-id-service',)",M6.medium,unique-id-service,UploadUniqueId,14.3609
6150,1,"('unique-id-service',)",M6.medium,unique-id-service,UploadUniqueId,3.181
6150,2,"('unique-id-service',)",M6.medium,unique-id-service,UploadUniqueId,13.324
4104,0,"('user-review-service',)",a1.medium,user-review-service,UploadUserReview,12.8864
4104,1,"('user-review-service',)",a1.medium,user-review-service,UploadUserReview,10.907
4104,2,"('user-review-service',)",a1.medium,user-review-service,UploadUserReview,5.3573
4105,0,"('user-service',)",a1.medium,user-service,UploadUserWithUsername,1.6064
6152,0,"('user-service',)",M6.medium,user-service,UploadUserWithUsername,0.4978
6152,1,"('user-service',)",M6.medium,user-service,UploadUserWithUsername,0.6857
10246,0,"('user-service',)",a1.large,user-service,UploadUserWithUsername,0.343
10246,1,"('user-service',)",a1.large,user-service,UploadUserWithUsername,0.3486
10246,2,"('user-service',)",a1.large,user-service,UploadUserWithUsername,0.3622
20482,0,"('cast-info-service', 'compose-review-service')",a1.2xlarge,compose-review-service,UploadRating,0.2508
20482,0,"('cast-info-service', 'compose-review-service')",a1.2xlarge,compose-review-service,UploadUniqueId,0.3385
20482,0,"('cast-info-service', 'compose-review-service')",a1.2xlarge,compose-review-service,UploadText,0.2191
20482,0,"('cast-info-service', 'compose-review-service')",a1.2xlarge,compose-review-service,UploadUserId,0.3029
20482,0,"('cast-info-service', 'compose-review-service')",a1.2xlarge,compose-review-service,UploadMovieId,0.1868
