exp_id,service_combination,vm_type,service_name,API_name,performance_value(ms)
6,"('payment', 'carts')",t3.micro,carts,get_cart,13.7706
6,"('payment', 'carts')",t3.micro,carts,merge,25.782
6,"('payment', 'carts')",t3.micro,carts,addToCart,31.734
6,"('payment', 'carts')",t3.micro,carts,delete,14.2824
37,"('payment', 'carts')",t3.small,payment,Authorise,0
37,"('payment', 'carts')",t3.small,carts,get_cart,12.1465
37,"('payment', 'carts')",t3.small,carts,merge,28.131
37,"('payment', 'carts')",t3.small,carts,addToCart,27.4643
37,"('payment', 'carts')",t3.small,carts,delete,14.5005
192,"('payment', 'carts')",t3.large,payment,Authorise,0.0
192,"('payment', 'carts')",t3.large,carts,get_cart,11.2183
192,"('payment', 'carts')",t3.large,carts,merge,26.153
192,"('payment', 'carts')",t3.large,carts,addToCart,24.9819
192,"('payment', 'carts')",t3.large,carts,delete,12.597
99,"('payment', 'carts')",M6.medium,payment,Authorise,0.0
99,"('payment', 'carts')",M6.medium,carts,get_cart,15.7453
99,"('payment', 'carts')",M6.medium,carts,merge,36.45
99,"('payment', 'carts')",M6.medium,carts,addToCart,40.041
99,"('payment', 'carts')",M6.medium,carts,delete,18.6031
161,"('payment', 'carts')",M6.large,payment,Authorise,0
161,"('payment', 'carts')",M6.large,carts,get_cart,12.703
161,"('payment', 'carts')",M6.large,carts,merge,23.888
161,"('payment', 'carts')",M6.large,carts,addToCart,29.4271
161,"('payment', 'carts')",M6.large,carts,delete,14.6943
254,"('payment', 'carts')",M6.xlarge,payment,Authorise,0.0
254,"('payment', 'carts')",M6.xlarge,carts,get_cart,10.3697
254,"('payment', 'carts')",M6.xlarge,carts,merge,21.0141
254,"('payment', 'carts')",M6.xlarge,carts,addToCart,22.0584
254,"('payment', 'carts')",M6.xlarge,carts,delete,11.9049
316,"('payment', 'carts')",M6.2xlarge,payment,Authorise,0
316,"('payment', 'carts')",M6.2xlarge,carts,get_cart,8.8661
316,"('payment', 'carts')",M6.2xlarge,carts,merge,22.0498
316,"('payment', 'carts')",M6.2xlarge,carts,addToCart,20.3429
316,"('payment', 'carts')",M6.2xlarge,carts,delete,9.576
130,"('payment', 'carts')",a1.large,payment,Authorise,0.0
130,"('payment', 'carts')",a1.large,carts,get_cart,11.3854
130,"('payment', 'carts')",a1.large,carts,merge,20.8
130,"('payment', 'carts')",a1.large,carts,addToCart,26.657
130,"('payment', 'carts')",a1.large,carts,delete,11.764
223,"('payment', 'carts')",a1.xlarge,payment,Authorise,0.0
223,"('payment', 'carts')",a1.xlarge,carts,get_cart,9.723
223,"('payment', 'carts')",a1.xlarge,carts,merge,22.6382
223,"('payment', 'carts')",a1.xlarge,carts,addToCart,21.3779
223,"('payment', 'carts')",a1.xlarge,carts,delete,11.3586
285,"('payment', 'carts')",a1.2xlarge,payment,Authorise,0
285,"('payment', 'carts')",a1.2xlarge,carts,get_cart,9.2239
285,"('payment', 'carts')",a1.2xlarge,carts,merge,20.632
285,"('payment', 'carts')",a1.2xlarge,carts,addToCart,21.1232
285,"('payment', 'carts')",a1.2xlarge,carts,delete,10.6192
163,"('payment', 'user')",M6.large,payment,Authorise,0
163,"('payment', 'user')",M6.large,user,GetAddresses,0.0
163,"('payment', 'user')",M6.large,user,Login,0.0
163,"('payment', 'user')",M6.large,user,GetUsers,0
132,"('payment', 'user')",a1.large,payment,Authorise,0
132,"('payment', 'user')",a1.large,user,GetUsers,0
132,"('payment', 'user')",a1.large,user,Login,0.0
132,"('payment', 'user')",a1.large,user,GetAddresses,0.0
166,"('carts', 'user')",M6.large,carts,get_cart,12.8541
166,"('carts', 'user')",M6.large,carts,merge,26.926
166,"('carts', 'user')",M6.large,carts,addToCart,27.524
166,"('carts', 'user')",M6.large,carts,delete,15.436
166,"('carts', 'user')",M6.large,user,GetUsers,0
166,"('carts', 'user')",M6.large,user,Login,0.0
166,"('carts', 'user')",M6.large,user,GetAddresses,0
259,"('carts', 'user')",M6.xlarge,carts,get_cart,9.808
259,"('carts', 'user')",M6.xlarge,carts,merge,21.806
259,"('carts', 'user')",M6.xlarge,carts,addToCart,20.2421
259,"('carts', 'user')",M6.xlarge,carts,delete,10.8853
259,"('carts', 'user')",M6.xlarge,user,GetAddresses,0.0
259,"('carts', 'user')",M6.xlarge,user,Login,0.0
259,"('carts', 'user')",M6.xlarge,user,GetUsers,0
321,"('carts', 'user')",M6.2xlarge,carts,get_cart,10.4636
321,"('carts', 'user')",M6.2xlarge,carts,merge,23.102
321,"('carts', 'user')",M6.2xlarge,carts,addToCart,21.7542
321,"('carts', 'user')",M6.2xlarge,carts,delete,10.582
321,"('carts', 'user')",M6.2xlarge,user,GetUsers,0
321,"('carts', 'user')",M6.2xlarge,user,Login,0.0
321,"('carts', 'user')",M6.2xlarge,user,GetAddresses,0.0
11,"('carts', 'user')",t3.micro,carts,get_cart,10.4054
11,"('carts', 'user')",t3.micro,carts,merge,20.547
11,"('carts', 'user')",t3.micro,carts,addToCart,23.2422
11,"('carts', 'user')",t3.micro,carts,delete,12.245
11,"('carts', 'user')",t3.micro,user,GetAddresses,0.0
11,"('carts', 'user')",t3.micro,user,Login,0.0
11,"('carts', 'user')",t3.micro,user,GetUsers,0
197,"('carts', 'user')",t3.large,carts,get_cart,11.6606
197,"('carts', 'user')",t3.large,carts,merge,22.7354
197,"('carts', 'user')",t3.large,carts,addToCart,24.5289
197,"('carts', 'user')",t3.large,carts,delete,13.6551
197,"('carts', 'user')",t3.large,user,GetUsers,0
197,"('carts', 'user')",t3.large,user,Login,0.0
197,"('carts', 'user')",t3.large,user,GetAddresses,0.0
135,"('carts', 'user')",a1.large,carts,get_cart,13.7392
135,"('carts', 'user')",a1.large,carts,merge,23.898
135,"('carts', 'user')",a1.large,carts,addToCart,27.1652
135,"('carts', 'user')",a1.large,carts,delete,13.357
135,"('carts', 'user')",a1.large,user,GetUsers,0
135,"('carts', 'user')",a1.large,user,Login,0.0
135,"('carts', 'user')",a1.large,user,GetAddresses,0.0
228,"('carts', 'user')",a1.xlarge,carts,get_cart,11.6664
228,"('carts', 'user')",a1.xlarge,carts,merge,23.4329
228,"('carts', 'user')",a1.xlarge,carts,addToCart,23.7591
228,"('carts', 'user')",a1.xlarge,carts,delete,12.2452
228,"('carts', 'user')",a1.xlarge,user,GetUsers,0
228,"('carts', 'user')",a1.xlarge,user,Login,0
228,"('carts', 'user')",a1.xlarge,user,GetAddresses,0.0
290,"('carts', 'user')",a1.2xlarge,carts,get_cart,10.1846
290,"('carts', 'user')",a1.2xlarge,carts,merge,27.3886
290,"('carts', 'user')",a1.2xlarge,carts,addToCart,21.504
290,"('carts', 'user')",a1.2xlarge,carts,delete,12.6903
290,"('carts', 'user')",a1.2xlarge,user,GetUsers,0
290,"('carts', 'user')",a1.2xlarge,user,Login,0.0
290,"('carts', 'user')",a1.2xlarge,user,GetAddresses,0.0
167,"('carts', 'catalogue')",M6.large,carts,get_cart,11.6204
167,"('carts', 'catalogue')",M6.large,carts,merge,24.531
167,"('carts', 'catalogue')",M6.large,carts,addToCart,25.3135
167,"('carts', 'catalogue')",M6.large,carts,delete,12.2695
167,"('carts', 'catalogue')",M6.large,catalogue,List,0.0
167,"('carts', 'catalogue')",M6.large,catalogue,Get,0.0
322,"('carts', 'catalogue')",M6.2xlarge,carts,get_cart,9.4755
322,"('carts', 'catalogue')",M6.2xlarge,carts,updateItem,0.05
322,"('carts', 'catalogue')",M6.2xlarge,carts,merge,18.4448
322,"('carts', 'catalogue')",M6.2xlarge,carts,addToCart,21.9824
322,"('carts', 'catalogue')",M6.2xlarge,carts,delete,10.3252
322,"('carts', 'catalogue')",M6.2xlarge,catalogue,List,0.0
322,"('carts', 'catalogue')",M6.2xlarge,catalogue,Get,0.0
74,"('carts', 'catalogue')",a1.medium,carts,get_cart,18.8017
74,"('carts', 'catalogue')",a1.medium,carts,merge,37.8459
74,"('carts', 'catalogue')",a1.medium,carts,addToCart,41.6619
74,"('carts', 'catalogue')",a1.medium,carts,delete,19.5838
74,"('carts', 'catalogue')",a1.medium,catalogue,List,0.0
74,"('carts', 'catalogue')",a1.medium,catalogue,Get,0.0
136,"('carts', 'catalogue')",a1.large,carts,get_cart,12.992
136,"('carts', 'catalogue')",a1.large,carts,merge,24.4742
136,"('carts', 'catalogue')",a1.large,carts,addToCart,26.58
136,"('carts', 'catalogue')",a1.large,carts,delete,13.4974
136,"('carts', 'catalogue')",a1.large,catalogue,List,0
136,"('carts', 'catalogue')",a1.large,catalogue,Get,0.0
229,"('carts', 'catalogue')",a1.xlarge,carts,get_cart,11.2344
229,"('carts', 'catalogue')",a1.xlarge,carts,updateItem,0.109
229,"('carts', 'catalogue')",a1.xlarge,carts,merge,24.092
229,"('carts', 'catalogue')",a1.xlarge,carts,addToCart,23.4735
229,"('carts', 'catalogue')",a1.xlarge,carts,delete,12.904
229,"('carts', 'catalogue')",a1.xlarge,catalogue,List,0
229,"('carts', 'catalogue')",a1.xlarge,catalogue,Get,0.0
291,"('carts', 'catalogue')",a1.2xlarge,carts,get_cart,9.4058
291,"('carts', 'catalogue')",a1.2xlarge,carts,updateItem,0.096
291,"('carts', 'catalogue')",a1.2xlarge,carts,merge,19.8408
291,"('carts', 'catalogue')",a1.2xlarge,carts,addToCart,22.4231
291,"('carts', 'catalogue')",a1.2xlarge,carts,delete,10.7972
291,"('carts', 'catalogue')",a1.2xlarge,catalogue,List,0.0
291,"('carts', 'catalogue')",a1.2xlarge,catalogue,Get,0.0
12,"('carts', 'catalogue')",t3.micro,carts,get_cart,10.0291
12,"('carts', 'catalogue')",t3.micro,carts,delete,11.119
12,"('carts', 'catalogue')",t3.micro,carts,addToCart,24.5645
12,"('carts', 'catalogue')",t3.micro,carts,merge,20.275
12,"('carts', 'catalogue')",t3.micro,catalogue,List,0.0
12,"('carts', 'catalogue')",t3.micro,catalogue,Get,0.0
43,"('carts', 'catalogue')",t3.small,carts,get_cart,11.8101
43,"('carts', 'catalogue')",t3.small,carts,updateItem,0.132
43,"('carts', 'catalogue')",t3.small,carts,merge,26.756
43,"('carts', 'catalogue')",t3.small,carts,addToCart,27.8404
43,"('carts', 'catalogue')",t3.small,carts,delete,14.7332
43,"('carts', 'catalogue')",t3.small,catalogue,List,0
43,"('carts', 'catalogue')",t3.small,catalogue,Get,0.0
198,"('carts', 'catalogue')",t3.large,carts,get_cart,11.7514
198,"('carts', 'catalogue')",t3.large,carts,updateItem,0.037
198,"('carts', 'catalogue')",t3.large,carts,merge,24.6931
198,"('carts', 'catalogue')",t3.large,carts,addToCart,27.2202
198,"('carts', 'catalogue')",t3.large,carts,delete,12.456
198,"('carts', 'catalogue')",t3.large,catalogue,List,0.0
198,"('carts', 'catalogue')",t3.large,catalogue,Get,0.0
170,"('user', 'catalogue')",M6.large,user,GetUsers,0
170,"('user', 'catalogue')",M6.large,user,Login,0.0
170,"('user', 'catalogue')",M6.large,user,GetAddresses,0.0
170,"('user', 'catalogue')",M6.large,catalogue,List,0.0
170,"('user', 'catalogue')",M6.large,catalogue,Get,0.0
139,"('user', 'catalogue')",a1.large,user,GetUsers,0
139,"('user', 'catalogue')",a1.large,user,Login,0.0
139,"('user', 'catalogue')",a1.large,user,GetAddresses,0.0
139,"('user', 'catalogue')",a1.large,catalogue,List,0.0
139,"('user', 'catalogue')",a1.large,catalogue,Get,0
121,"('payment', 'carts', 'user', 'catalogue')",M6.medium,payment,Authorise,0.0
121,"('payment', 'carts', 'user', 'catalogue')",M6.medium,carts,get_cart,16.7626
121,"('payment', 'carts', 'user', 'catalogue')",M6.medium,carts,merge,47.124
121,"('payment', 'carts', 'user', 'catalogue')",M6.medium,carts,addToCart,36.3944
121,"('payment', 'carts', 'user', 'catalogue')",M6.medium,carts,delete,19.9622
121,"('payment', 'carts', 'user', 'catalogue')",M6.medium,user,GetUsers,0
121,"('payment', 'carts', 'user', 'catalogue')",M6.medium,user,Login,0.0
121,"('payment', 'carts', 'user', 'catalogue')",M6.medium,user,GetAddresses,0.0
121,"('payment', 'carts', 'user', 'catalogue')",M6.medium,catalogue,List,0.0
121,"('payment', 'carts', 'user', 'catalogue')",M6.medium,catalogue,Get,0.0
183,"('payment', 'carts', 'user', 'catalogue')",M6.large,payment,Authorise,0
183,"('payment', 'carts', 'user', 'catalogue')",M6.large,carts,get_cart,12.7926
183,"('payment', 'carts', 'user', 'catalogue')",M6.large,carts,merge,25.1958
183,"('payment', 'carts', 'user', 'catalogue')",M6.large,carts,addToCart,28.2916
183,"('payment', 'carts', 'user', 'catalogue')",M6.large,carts,delete,13.9428
183,"('payment', 'carts', 'user', 'catalogue')",M6.large,user,GetUsers,0
183,"('payment', 'carts', 'user', 'catalogue')",M6.large,user,Login,0.0
183,"('payment', 'carts', 'user', 'catalogue')",M6.large,user,GetAddresses,0.0
183,"('payment', 'carts', 'user', 'catalogue')",M6.large,catalogue,List,0.0
183,"('payment', 'carts', 'user', 'catalogue')",M6.large,catalogue,Get,0.0
276,"('payment', 'carts', 'user', 'catalogue')",M6.xlarge,payment,Authorise,0
276,"('payment', 'carts', 'user', 'catalogue')",M6.xlarge,carts,get_cart,10.522
276,"('payment', 'carts', 'user', 'catalogue')",M6.xlarge,carts,merge,24.8363
276,"('payment', 'carts', 'user', 'catalogue')",M6.xlarge,carts,addToCart,20.7974
276,"('payment', 'carts', 'user', 'catalogue')",M6.xlarge,carts,delete,11.5427
276,"('payment', 'carts', 'user', 'catalogue')",M6.xlarge,user,GetAddresses,0.0
276,"('payment', 'carts', 'user', 'catalogue')",M6.xlarge,user,Login,0.0
276,"('payment', 'carts', 'user', 'catalogue')",M6.xlarge,user,GetUsers,0
276,"('payment', 'carts', 'user', 'catalogue')",M6.xlarge,catalogue,List,0.0
276,"('payment', 'carts', 'user', 'catalogue')",M6.xlarge,catalogue,Get,0.0
338,"('payment', 'carts', 'user', 'catalogue')",M6.2xlarge,payment,Authorise,0
338,"('payment', 'carts', 'user', 'catalogue')",M6.2xlarge,carts,get_cart,9.7932
338,"('payment', 'carts', 'user', 'catalogue')",M6.2xlarge,carts,delete,10.9583
338,"('payment', 'carts', 'user', 'catalogue')",M6.2xlarge,carts,addToCart,21.2971
338,"('payment', 'carts', 'user', 'catalogue')",M6.2xlarge,carts,merge,21.1993
338,"('payment', 'carts', 'user', 'catalogue')",M6.2xlarge,user,GetAddresses,0.0
338,"('payment', 'carts', 'user', 'catalogue')",M6.2xlarge,user,Login,0
338,"('payment', 'carts', 'user', 'catalogue')",M6.2xlarge,user,GetUsers,0
338,"('payment', 'carts', 'user', 'catalogue')",M6.2xlarge,catalogue,List,0.0
338,"('payment', 'carts', 'user', 'catalogue')",M6.2xlarge,catalogue,Get,0.0
90,"('payment', 'carts', 'user', 'catalogue')",a1.medium,payment,Authorise,0.0
90,"('payment', 'carts', 'user', 'catalogue')",a1.medium,carts,get_cart,15.6748
