exp_id,index,service_combination,vm_type,cpu_idle,cpu_user,cpu_sys,mem,cache,buffer,procs_running,procs_blocked,load1,load5,load15
2,1,"('carts',)",t3.micro,1565.12,146.3,62.79,345673045.33,353715029.33,1081344.0,3.96,0.0,0.2,0.42,0.42
5,0,"('catalogue',)",t3.micro,1896.95,164.4,72.21,468025002.67,503385258.67,1081344.0,4.42,0.0,0.3,0.58,0.58
5,1,"('catalogue',)",t3.micro,2231.97,176.78,80.48,478810112.0,509911893.33,1081344.0,3.67,0.0,0.07,0.24,0.24
5,2,"('catalogue',)",t3.micro,2567.17,189.19,88.71,477897216.0,498961408.0,1081344.0,4.58,0.0,0.29,0.22,0.22
128,0,"('payment',)",t3.small,293.75,44.3,22.98,1408105301.33,1416101034.67,2662400.0,4.46,0.04,0.88,0.86,0.86
128,1,"('payment',)",t3.small,629.33,54.98,28.81,1409957546.67,1406890666.67,2662400.0,4.75,0.0,0.07,0.37,0.37
128,2,"('payment',)",t3.small,965.29,65.64,34.51,1406825642.67,1387285333.33,2662400.0,4.25,0.0,0.02,0.13,0.13
129,0,"('carts',)",t3.small,1279.35,99.35,42.13,1118674261.33,1055034197.33,2662400.0,5.04,0.04,0.83,0.47,0.47
129,1,"('carts',)",t3.small,1594.09,128.69,49.08,1126893056.0,1078080341.33,2662400.0,4.25,0.0,0.18,0.33,0.33
132,0,"('catalogue',)",t3.small,1922.08,144.63,56.06,1399426901.33,1221885239.65,2662400.0,3.91,0.04,0.08,0.2,0.2
132,1,"('catalogue',)",t3.small,2262.46,155.31,61.87,1412010325.33,1225645056.0,2662400.0,4.13,0.0,0.35,0.19,0.19
132,2,"('catalogue',)",t3.small,2598.07,165.92,67.58,1412988416.0,1227931818.67,2662400.0,4.42,0.0,0.17,0.2,0.2
1144,0,"('payment',)",M6.xlarge,311.74,30.27,16.1,15778769237.33,2035920384.0,2662400.0,5.38,0.0,0.3,0.75,0.75
1144,1,"('payment',)",M6.xlarge,654.35,37.64,20.46,15783824042.67,2036677120.0,2662400.0,4.63,0.0,0.07,0.28,0.28
1144,2,"('payment',)",M6.xlarge,997.36,44.77,24.73,15778865834.67,2036699306.67,2662400.0,5.13,0.0,0.06,0.25,0.25
1145,0,"('carts',)",M6.xlarge,1322.34,67.12,30.32,15165018282.67,2207634602.67,2662400.0,5.67,0.04,0.31,0.29,0.29
1145,0,"('carts',)",M6.xlarge,1654.46,88.34,35.46,15203097941.33,2208666453.33,2662400.0,5.58,0.0,0.38,0.32,0.32
1145,1,"('carts',)",M6.xlarge,1981.76,109.6,40.54,15206455637.33,2209243306.67,2662400.0,5.08,0.0,0.48,0.43,0.43
1145,2,"('carts',)",M6.xlarge,2312.95,131.49,45.78,15203853482.67,2210248021.33,2662400.0,5.08,0.0,0.35,0.43,0.43
1148,0,"('catalogue',)",M6.xlarge,2650.28,142.31,51.15,15736425642.67,2364729344.0,2662400.0,5.42,0.0,0.13,0.28,0.28
1148,1,"('catalogue',)",M6.xlarge,2997.13,149.96,55.77,15738323968.0,2365641216.0,2662400.0,5.58,0.0,0.04,0.14,0.14
1148,2,"('catalogue',)",M6.xlarge,3339.25,157.45,60.36,15751983445.33,2364959402.67,2662400.0,4.92,0.0,0.18,0.14,0.14
890,0,"('payment',)",t3.large,277.95,50.32,27.46,7513516373.33,1981826560.0,2662400.0,3.96,0.0,0.19,0.5,0.5
890,1,"('payment',)",t3.large,613.31,61.21,33.65,7502279168.0,1982964736.0,2662400.0,3.54,0.0,0.07,0.19,0.19
890,2,"('payment',)",t3.large,949.05,71.87,39.67,7511031978.67,1983157077.33,2662400.0,4.25,0.0,0.08,0.12,0.12
891,0,"('carts',)",t3.large,1260.69,102.79,47.48,6948920661.33,2153792682.67,2662400.0,4.17,0.0,0.69,0.53,0.53
894,0,"('catalogue',)",t3.large,1593.6,118.24,54.74,7470550016.0,2309969237.33,2662400.0,4.29,0.0,0.11,0.27,0.27
894,1,"('catalogue',)",t3.large,1928.72,129.05,60.94,7470912512.0,2310266880.0,2662400.0,4.33,0.04,0.17,0.2,0.2
894,2,"('catalogue',)",t3.large,2263.93,139.77,67.13,7486211242.67,2310512128.0,2662400.0,4.62,0.0,0.02,0.15,0.15
1271,0,"('payment',)",a1.2xlarge,335.68,14.82,7.95,15756788906.67,2033123498.67,2662400.0,7.0,0.08,0.44,0.39,0.39
1271,1,"('payment',)",a1.2xlarge,686.82,18.6,10.28,15770591402.67,2033845418.67,2662400.0,6.83,0.0,0.22,0.21,0.21
1271,2,"('payment',)",a1.2xlarge,1040.0,22.55,12.81,15738574506.67,2035652096.0,2662400.0,7.33,0.0,0.05,0.17,0.17
1272,0,"('carts',)",a1.2xlarge,1382.19,36.18,15.91,15125853013.33,2206582101.33,2662400.0,7.21,0.0,0.34,0.32,0.32
1272,1,"('carts',)",a1.2xlarge,1727.22,49.73,18.95,15074080597.33,2206627157.33,2662400.0,6.83,0.0,0.14,0.35,0.35
1272,2,"('carts',)",a1.2xlarge,2067.48,63.02,22.06,15138847573.33,2207655082.67,2662400.0,7.83,0.0,0.33,0.42,0.42
1275,0,"('catalogue',)",a1.2xlarge,2420.06,69.02,25.15,15717545472.0,2361800362.67,2662400.0,6.08,0.0,0.19,0.26,0.26
1275,1,"('catalogue',)",a1.2xlarge,2770.36,73.17,27.82,15713252864.0,2362020181.33,2662400.0,6.63,0.0,0.11,0.18,0.18
1275,2,"('catalogue',)",a1.2xlarge,3120.65,77.27,30.42,15713716906.67,2362685952.0,2662400.0,6.75,0.0,0.19,0.16,0.16
1398,0,"('payment',)",M6.2xlarge,335.77,19.01,11.66,32480345258.67,2035247786.67,2662400.0,6.42,0.0,0.8,0.76,0.76
1398,1,"('payment',)",M6.2xlarge,686.34,23.55,15.08,32490377216.0,2037342890.67,2662400.0,6.5,0.0,0.29,0.57,0.57
1398,2,"('payment',)",M6.2xlarge,1037.12,28.02,18.54,32482714112.0,2037206016.0,2662400.0,6.63,0.0,0.11,0.31,0.31
1399,0,"('carts',)",M6.2xlarge,1376.79,41.92,22.41,31847077376.0,2207424170.67,2662400.0,6.71,0.0,0.39,0.66,0.66
1399,0,"('carts',)",M6.2xlarge,1722.12,55.5,26.11,31881120938.67,2209646592.0,2662400.0,6.33,0.0,0.31,0.5,0.5
1399,0,"('carts',)",M6.2xlarge,2062.96,68.67,29.81,31792108885.33,2218138965.33,2662400.0,6.75,0.0,0.3,0.43,0.43
1399,1,"('carts',)",M6.2xlarge,2511.01,83.27,34.26,31884188160.0,2219176106.67,2662400.0,6.42,0.0,0.53,0.48,0.48
1399,2,"('carts',)",M6.2xlarge,2851.43,96.85,37.93,31876976981.33,2218630997.33,2662400.0,6.58,0.0,0.33,0.4,0.4
1400,0,"('orders',)",M6.2xlarge,3195.86,111.32,41.75,31708654250.67,2240855210.67,2662400.0,7.46,0.0,0.32,0.4,0.4
1400,1,"('orders',)",M6.2xlarge,3536.79,124.6,45.53,31764681898.67,2240940373.33,2662400.0,6.42,0.0,0.4,0.44,0.44
1400,2,"('orders',)",M6.2xlarge,3877.04,138.51,49.3,31655486976.0,2241293141.33,2662400.0,6.5,0.0,0.34,0.44,0.44
1402,0,"('catalogue',)",M6.2xlarge,4225.0,144.62,53.17,32434916010.67,2398187178.67,2662400.0,6.54,0.0,0.1,0.23,0.23
1402,1,"('catalogue',)",M6.2xlarge,4580.2,149.11,56.62,32428379989.33,2400286549.33,2662400.0,5.88,0.0,0.15,0.19,0.19
1402,2,"('catalogue',)",M6.2xlarge,4930.71,153.57,59.88,32441312426.67,2400700757.33,2662400.0,7.04,0.0,0.2,0.2,0.2
1278,0,"('payment', 'carts')",a1.2xlarge,367.75,27.11,9.81,15055606272.0,2209960106.67,2662400.0,6.92,0.04,0.24,0.53,0.53
1278,1,"('payment', 'carts')",a1.2xlarge,740.58,41.34,13.3,15079553877.33,2210667178.67,2662400.0,7.71,0.0,0.58,0.53,0.53
1278,2,"('payment', 'carts')",a1.2xlarge,1112.81,56.0,16.84,15091961173.33,2211690154.67,2662400.0,6.92,0.0,0.56,0.55,0.55
264,2,"('payment', 'user')",a1.medium,240.32,87.77,36.8,1374682624.0,1291041280.0,2662400.0,3.67,0.04,0.46,1.1,1.1
10,0,"('payment', 'user')",t3.micro,293.18,59.24,27.19,417615360.0,440220672.0,69632.0,4.67,0.13,0.48,0.79,0.79
10,1,"('payment', 'user')",t3.micro,648.15,74.79,35.56,425215146.67,446219776.0,1081344.0,4.71,0.04,0.02,0.28,0.28
10,2,"('payment', 'user')",t3.micro,1008.27,90.81,44.13,433855658.67,454711978.67,1081344.0,4.58,0.0,0.16,0.21,0.21
1284,1,"('carts', 'orders')",a1.2xlarge,352.85,30.73,10.03,14523467264.0,1339233962.67,2662400.0,7.04,0.0,1.4,0.92,0.92
1284,2,"('carts', 'orders')",a1.2xlarge,711.71,54.29,16.32,14487130794.67,1340825429.33,2662400.0,7.25,0.0,1.47,1.17,1.17
1411,1,"('carts', 'orders')",M6.2xlarge,362.87,29.99,8.46,31180141226.67,1335573504.0,2662400.0,6.79,0.04,0.61,0.65,0.65
1411,2,"('carts', 'orders')",M6.2xlarge,722.19,52.03,12.41,31173812224.0,1335191722.67,2662400.0,7.63,0.0,0.38,0.55,0.55
1031,1,"('carts', 'user')",a1.xlarge,702.37,57.54,23.58,6726930090.67,2447351978.67,2662400.0,5.83,0.0,0.55,0.56,0.56
1031,2,"('carts', 'user')",a1.xlarge,1059.89,81.44,30.93,6731541162.67,2446268586.67,2662400.0,6.71,0.0,1.02,0.69,0.69
1285,0,"('carts', 'user')",a1.2xlarge,361.31,29.55,12.04,15023967914.67,2443410773.33,2662400.0,6.96,0.0,0.72,0.73,0.73
1285,1,"('carts', 'user')",a1.2xlarge,733.05,45.3,18.1,15046192469.33,2443699200.0,2662400.0,6.38,0.0,0.5,0.65,0.65
1285,2,"('carts', 'user')",a1.2xlarge,1105.38,60.34,23.81,14946221056.0,2444529493.33,2662400.0,7.25,0.0,1.15,0.83,0.83
27,0,"('catalogue', 'front-end')",t3.micro,909.48,88.79,45.54,420744192.0,441685504.0,1081344.0,6.08,0.0,0.34,0.31,0.31
27,1,"('catalogue', 'front-end')",t3.micro,1262.89,108.96,55.94,407532885.33,423121408.0,1081344.0,6.5,0.0,0.54,0.38,0.38
27,2,"('catalogue', 'front-end')",t3.micro,1612.19,128.65,66.3,422220117.33,440987818.67,1081344.0,6.87,0.0,0.16,0.25,0.25
1320,1,"('carts', 'user', 'front-end')",a1.2xlarge,399.56,24.83,10.41,15154701994.67,2549761024.0,2662400.0,7.75,0.0,0.32,0.44,0.44
1320,1,"('carts', 'user', 'front-end')",a1.2xlarge,803.27,40.88,15.27,14776865792.0,2646083242.67,2662400.0,6.46,0.0,0.34,0.41,0.41
1320,2,"('carts', 'user', 'front-end')",a1.2xlarge,1200.9,57.48,20.19,14862787413.33,2647993344.0,2662400.0,7.71,0.0,0.24,0.38,0.38
